source,target,material,time,value
eat2,landfill Ely,apples,2011-08-27,5.760990202888258
eat2,composting Ely,apples,2011-08-27,2.4689958012378246
farm1,eat2,apples,2011-08-28,0.7888487824089989
eat2,landfill Ely,apples,2011-08-28,0.5521941476862992
eat2,composting Ely,apples,2011-08-28,0.23665463472269965
farm1,eat2,apples,2011-08-29,9.636539920141583
eat2,landfill Ely,apples,2011-08-29,6.745577944099106
eat2,composting Ely,apples,2011-08-29,2.8909619760424743
farm1,eat2,apples,2011-08-30,0.014875555898094462
eat2,landfill Ely,apples,2011-08-30,0.010412889128666123
eat2,composting Ely,apples,2011-08-30,0.004462666769428338
farm1,eat2,apples,2011-08-31,2.9277390432498698
eat2,landfill Ely,apples,2011-08-31,2.0494173302749092
eat2,composting Ely,apples,2011-08-31,0.8783217129749611
farm1,eat3,oranges,2011-08-01,0.787977626728019
eat3,landfill Ely,oranges,2011-08-01,0.5515843387096132
eat3,composting Ely,oranges,2011-08-01,0.2363932880184057
farm1,eat3,oranges,2011-08-02,0.04736795742221154
eat3,landfill Ely,oranges,2011-08-02,0.033157570195548075
eat3,composting Ely,oranges,2011-08-02,0.01421038722666346
farm1,eat3,oranges,2011-08-03,5.798336503848209
eat3,landfill Ely,oranges,2011-08-03,4.058835552693746
eat3,composting Ely,oranges,2011-08-03,1.7395009511544628
farm1,eat3,oranges,2011-08-04,8.207090557358006
eat3,landfill Ely,oranges,2011-08-04,5.744963390150603
eat3,composting Ely,oranges,2011-08-04,2.462127167207402
farm1,eat3,oranges,2011-08-05,0.9014323944271913
eat3,landfill Ely,oranges,2011-08-05,0.6310026760990337
eat3,composting Ely,oranges,2011-08-05,0.2704297183281573
farm1,eat3,oranges,2011-08-06,8.5917136012519
eat3,landfill Ely,oranges,2011-08-06,6.01419952087633
eat3,composting Ely,oranges,2011-08-06,2.5775140803755696
farm1,eat3,oranges,2011-08-07,9.40947070659876
eat3,landfill Ely,oranges,2011-08-07,6.586629494619131
eat3,composting Ely,oranges,2011-08-07,2.822841211979628
farm1,eat3,oranges,2011-08-08,4.031857582803955
eat3,landfill Ely,oranges,2011-08-08,2.8223003079627684
eat3,composting Ely,oranges,2011-08-08,1.2095572748411865
farm1,eat3,oranges,2011-08-09,1.6937056549612062
eat3,landfill Ely,oranges,2011-08-09,1.1855939584728443
eat3,composting Ely,oranges,2011-08-09,0.5081116964883619
farm1,eat3,oranges,2011-08-10,0.2422814063419612
eat3,landfill Ely,oranges,2011-08-10,0.16959698443937282
eat3,composting Ely,oranges,2011-08-10,0.07268442190258835
farm1,eat3,oranges,2011-08-11,3.4889679681707584
eat3,landfill Ely,oranges,2011-08-11,2.4422775777195302
eat3,composting Ely,oranges,2011-08-11,1.0466903904512272
farm1,eat3,oranges,2011-08-12,5.0359314753952775
eat3,landfill Ely,oranges,2011-08-12,3.5251520327766936
eat3,composting Ely,oranges,2011-08-12,1.5107794426185832
farm1,eat3,oranges,2011-08-13,3.155805773436461
eat3,landfill Ely,oranges,2011-08-13,2.2090640414055227
eat3,composting Ely,oranges,2011-08-13,0.9467417320309386
farm1,eat3,oranges,2011-08-14,1.9484979811868253
eat3,landfill Ely,oranges,2011-08-14,1.363948586830778
eat3,composting Ely,oranges,2011-08-14,0.5845493943560477
farm1,eat3,oranges,2011-08-15,1.2096581175559198
eat3,landfill Ely,oranges,2011-08-15,0.8467606822891438
eat3,composting Ely,oranges,2011-08-15,0.3628974352667759
farm1,eat3,oranges,2011-08-16,7.498430420332979
eat3,landfill Ely,oranges,2011-08-16,5.248901294233085
eat3,composting Ely,oranges,2011-08-16,2.249529126099893
farm1,eat3,oranges,2011-08-17,0.0934975827445884
eat3,landfill Ely,oranges,2011-08-17,0.06544830792121188
eat3,composting Ely,oranges,2011-08-17,0.02804927482337652
farm1,eat3,oranges,2011-08-18,1.1905777012669332
eat3,landfill Ely,oranges,2011-08-18,0.8334043908868531
eat3,composting Ely,oranges,2011-08-18,0.35717331038007993
farm1,eat3,oranges,2011-08-19,1.658586599013845
eat3,landfill Ely,oranges,2011-08-19,1.1610106193096914
eat3,composting Ely,oranges,2011-08-19,0.4975759797041535
farm1,eat3,oranges,2011-08-20,0.5792921302074782
eat3,landfill Ely,oranges,2011-08-20,0.4055044911452347
eat3,composting Ely,oranges,2011-08-20,0.17378763906224345
farm1,eat3,oranges,2011-08-21,2.2199015114603813
eat3,landfill Ely,oranges,2011-08-21,1.5539310580222667
eat3,composting Ely,oranges,2011-08-21,0.6659704534381143
farm1,eat3,oranges,2011-08-22,4.590557579580138
eat3,landfill Ely,oranges,2011-08-22,3.2133903057060964
eat3,composting Ely,oranges,2011-08-22,1.3771672738740417
farm1,eat3,oranges,2011-08-23,2.588656384113146
eat3,landfill Ely,oranges,2011-08-23,1.812059468879202
eat3,composting Ely,oranges,2011-08-23,0.7765969152339438
farm1,eat3,oranges,2011-08-24,0.8060895676487702
eat3,landfill Ely,oranges,2011-08-24,0.564262697354139
eat3,composting Ely,oranges,2011-08-24,0.24182687029463104
farm1,eat3,oranges,2011-08-25,2.2985531903159817
eat3,landfill Ely,oranges,2011-08-25,1.6089872332211874
eat3,composting Ely,oranges,2011-08-25,0.6895659570947946
farm1,eat3,oranges,2011-08-26,8.787684353771473
eat3,landfill Ely,oranges,2011-08-26,6.151379047640033
eat3,composting Ely,oranges,2011-08-26,2.6363053061314417
farm1,eat3,oranges,2011-08-27,0.0037127585893390095
eat3,landfill Ely,oranges,2011-08-27,0.002598931012537307
eat3,composting Ely,oranges,2011-08-27,0.0011138275768017027
farm1,eat3,oranges,2011-08-28,3.880597931228497
eat3,landfill Ely,oranges,2011-08-28,2.7164185518599475
eat3,composting Ely,oranges,2011-08-28,1.164179379368549
farm1,eat3,oranges,2011-08-29,0.03777405373813291
eat3,landfill Ely,oranges,2011-08-29,0.02644183761669304
eat3,composting Ely,oranges,2011-08-29,0.011332216121439871
farm1,eat3,oranges,2011-08-30,1.897298383067039
eat3,landfill Ely,oranges,2011-08-30,1.328108868146927
eat3,composting Ely,oranges,2011-08-30,0.5691895149201116
farm1,eat3,oranges,2011-08-31,2.244778356438877
eat3,landfill Ely,oranges,2011-08-31,1.5713448495072142
eat3,composting Ely,oranges,2011-08-31,0.6734335069316632
farm1,eat5,oranges,2011-08-01,3.573301629653028
eat5,landfill Cambridge,oranges,2011-08-01,2.501311140757119
eat5,composting Cambridge,oranges,2011-08-01,1.0719904888959082
farm1,eat5,oranges,2011-08-02,8.341821050372094
eat5,landfill Cambridge,oranges,2011-08-02,5.8392747352604655
eat5,composting Cambridge,oranges,2011-08-02,2.502546315111628
farm1,eat5,oranges,2011-08-03,0.03271416642350283
eat5,landfill Cambridge,oranges,2011-08-03,0.022899916496451983
eat5,composting Cambridge,oranges,2011-08-03,0.00981424992705085
farm1,eat5,oranges,2011-08-04,2.5285651353255654
eat5,landfill Cambridge,oranges,2011-08-04,1.7699955947278956
eat5,composting Cambridge,oranges,2011-08-04,0.7585695405976696
farm1,eat5,oranges,2011-08-05,0.011412385528887363
eat5,landfill Cambridge,oranges,2011-08-05,0.007988669870221156
eat5,composting Cambridge,oranges,2011-08-05,0.003423715658666209
farm1,eat5,oranges,2011-08-06,0.18462964806232995
eat5,landfill Cambridge,oranges,2011-08-06,0.12924075364363094
eat5,composting Cambridge,oranges,2011-08-06,0.05538889441869898
farm1,eat5,oranges,2011-08-07,7.052936196934283
eat5,landfill Cambridge,oranges,2011-08-07,4.937055337853997
eat5,composting Cambridge,oranges,2011-08-07,2.1158808590802844
farm1,eat5,oranges,2011-08-08,8.912103797532607
eat5,landfill Cambridge,oranges,2011-08-08,6.2384726582728245
eat5,composting Cambridge,oranges,2011-08-08,2.6736311392597822
farm1,eat5,oranges,2011-08-09,3.1028606354273496
eat5,landfill Cambridge,oranges,2011-08-09,2.1720024447991446
eat5,composting Cambridge,oranges,2011-08-09,0.9308581906282049
farm1,eat5,oranges,2011-08-10,0.8665870783203473
eat5,landfill Cambridge,oranges,2011-08-10,0.6066109548242431
eat5,composting Cambridge,oranges,2011-08-10,0.25997612349610416
farm1,eat5,oranges,2011-08-11,9.191021070794068
eat5,landfill Cambridge,oranges,2011-08-11,6.433714749555848
eat5,composting Cambridge,oranges,2011-08-11,2.7573063212382203
farm1,eat5,oranges,2011-08-12,0.5897214475493696
eat5,landfill Cambridge,oranges,2011-08-12,0.4128050132845587
eat5,composting Cambridge,oranges,2011-08-12,0.17691643426481088
farm1,eat5,oranges,2011-08-13,1.3486195468542184
eat5,landfill Cambridge,oranges,2011-08-13,0.9440336827979527
eat5,composting Cambridge,oranges,2011-08-13,0.4045858640562655
farm1,eat5,oranges,2011-08-14,4.324603417363218
eat5,landfill Cambridge,oranges,2011-08-14,3.0272223921542527
eat5,composting Cambridge,oranges,2011-08-14,1.2973810252089657
farm1,eat5,oranges,2011-08-15,2.449123566050299
eat5,landfill Cambridge,oranges,2011-08-15,1.7143864962352091
eat5,composting Cambridge,oranges,2011-08-15,0.7347370698150896
farm1,eat5,oranges,2011-08-16,4.703017293327703
eat5,landfill Cambridge,oranges,2011-08-16,3.292112105329392
eat5,composting Cambridge,oranges,2011-08-16,1.4109051879983108
farm1,eat5,oranges,2011-08-17,3.5631889845967835
eat5,landfill Cambridge,oranges,2011-08-17,2.494232289217748
eat5,composting Cambridge,oranges,2011-08-17,1.068956695379035
farm1,eat5,oranges,2011-08-18,0.09932287440437693
eat5,landfill Cambridge,oranges,2011-08-18,0.06952601208306383
eat5,composting Cambridge,oranges,2011-08-18,0.029796862321313074
farm1,eat5,oranges,2011-08-19,4.895875591195437
eat5,landfill Cambridge,oranges,2011-08-19,3.427112913836805
eat5,composting Cambridge,oranges,2011-08-19,1.4687626773586306
farm1,eat5,oranges,2011-08-20,5.80218960036412
eat5,landfill Cambridge,oranges,2011-08-20,4.061532720254884
eat5,composting Cambridge,oranges,2011-08-20,1.740656880109236
farm1,eat5,oranges,2011-08-21,0.8888256680360511
eat5,landfill Cambridge,oranges,2011-08-21,0.6221779676252357
eat5,composting Cambridge,oranges,2011-08-21,0.2666477004108153
farm1,eat5,oranges,2011-08-22,0.09002946348734123
eat5,landfill Cambridge,oranges,2011-08-22,0.06302062444113886
eat5,composting Cambridge,oranges,2011-08-22,0.027008839046202368
farm1,eat5,oranges,2011-08-23,8.513454450035162
eat5,landfill Cambridge,oranges,2011-08-23,5.959418115024612
eat5,composting Cambridge,oranges,2011-08-23,2.5540363350105486
farm1,eat5,oranges,2011-08-24,1.422021209468258
eat5,landfill Cambridge,oranges,2011-08-24,0.9954148466277806
eat5,composting Cambridge,oranges,2011-08-24,0.4266063628404774
farm1,eat5,oranges,2011-08-25,1.260126336548846
eat5,landfill Cambridge,oranges,2011-08-25,0.8820884355841921
eat5,composting Cambridge,oranges,2011-08-25,0.3780379009646538
farm1,eat5,oranges,2011-08-26,0.03937392359268471
eat5,landfill Cambridge,oranges,2011-08-26,0.027561746514879297
eat5,composting Cambridge,oranges,2011-08-26,0.011812177077805413
farm1,eat5,oranges,2011-08-27,5.667139416769881
eat5,landfill Cambridge,oranges,2011-08-27,3.9669975917389166
eat5,composting Cambridge,oranges,2011-08-27,1.7001418250309643
farm1,eat5,oranges,2011-08-28,0.027970369334995773
eat5,landfill Cambridge,oranges,2011-08-28,0.01957925853449704
eat5,composting Cambridge,oranges,2011-08-28,0.008391110800498732
farm1,eat5,oranges,2011-08-29,4.591722288619686
eat5,landfill Cambridge,oranges,2011-08-29,3.2142056020337813
eat5,composting Cambridge,oranges,2011-08-29,1.377516686585906
farm1,eat5,oranges,2011-08-30,0.06927759909894028
eat5,landfill Cambridge,oranges,2011-08-30,0.048494319369258194
eat5,composting Cambridge,oranges,2011-08-30,0.020783279729682084
farm1,eat5,oranges,2011-08-31,0.4424504590085459
eat5,landfill Cambridge,oranges,2011-08-31,0.3097153213059821
eat5,composting Cambridge,oranges,2011-08-31,0.13273513770256376
farm1,eat6,oranges,2011-08-01,5.5272095660858
eat6,landfill Cambridge,oranges,2011-08-01,3.8690466962600594
eat6,composting Cambridge,oranges,2011-08-01,1.6581628698257398
farm1,eat6,oranges,2011-08-02,0.0017002008073432756
eat6,landfill Cambridge,oranges,2011-08-02,0.0011901405651402928
eat6,composting Cambridge,oranges,2011-08-02,0.0005100602422029826
farm1,eat6,oranges,2011-08-03,0.5504036595631688
eat6,landfill Cambridge,oranges,2011-08-03,0.38528256169421815
eat6,composting Cambridge,oranges,2011-08-03,0.16512109786895066
farm1,eat6,oranges,2011-08-04,4.2450880561800375
eat6,landfill Cambridge,oranges,2011-08-04,2.9715616393260254
eat6,composting Cambridge,oranges,2011-08-04,1.273526416854011
farm1,eat6,oranges,2011-08-05,1.9254827674709545
eat6,landfill Cambridge,oranges,2011-08-05,1.3478379372296678
eat6,composting Cambridge,oranges,2011-08-05,0.5776448302412862
farm1,eat6,oranges,2011-08-06,4.66537896509082
eat6,landfill Cambridge,oranges,2011-08-06,3.2657652755635738
eat6,composting Cambridge,oranges,2011-08-06,1.3996136895272455
farm1,eat6,oranges,2011-08-07,2.097947612662116
eat6,landfill Cambridge,oranges,2011-08-07,1.4685633288634812
eat6,composting Cambridge,oranges,2011-08-07,0.6293842837986349
farm1,eat6,oranges,2011-08-08,0.5300049503598634
eat6,landfill Cambridge,oranges,2011-08-08,0.3710034652519044
eat6,composting Cambridge,oranges,2011-08-08,0.159001485107959
farm1,eat6,oranges,2011-08-09,1.2136818189092344
eat6,landfill Cambridge,oranges,2011-08-09,0.8495772732364641
eat6,composting Cambridge,oranges,2011-08-09,0.3641045456727704
farm1,eat6,oranges,2011-08-10,4.186675974729933
eat6,landfill Cambridge,oranges,2011-08-10,2.930673182310953
eat6,composting Cambridge,oranges,2011-08-10,1.25600279241898
farm1,eat6,oranges,2011-08-11,0.6654103735544612
eat6,landfill Cambridge,oranges,2011-08-11,0.4657872614881228
eat6,composting Cambridge,oranges,2011-08-11,0.19962311206633834
farm1,eat6,oranges,2011-08-12,8.651354943374299
eat6,landfill Cambridge,oranges,2011-08-12,6.055948460362009
eat6,composting Cambridge,oranges,2011-08-12,2.59540648301229
farm1,eat6,oranges,2011-08-13,9.64447855356733
eat6,landfill Cambridge,oranges,2011-08-13,6.751134987497131
eat6,composting Cambridge,oranges,2011-08-13,2.893343566070199
farm1,eat6,oranges,2011-08-14,0.2687758781689932
eat6,landfill Cambridge,oranges,2011-08-14,0.1881431147182952
eat6,composting Cambridge,oranges,2011-08-14,0.08063276345069795
farm1,eat6,oranges,2011-08-15,0.2159878615868535
eat6,landfill Cambridge,oranges,2011-08-15,0.15119150311079746
eat6,composting Cambridge,oranges,2011-08-15,0.06479635847605605
farm1,eat6,oranges,2011-08-16,0.12112410428984728
eat6,landfill Cambridge,oranges,2011-08-16,0.08478687300289309
eat6,composting Cambridge,oranges,2011-08-16,0.03633723128695418
farm1,eat6,oranges,2011-08-17,0.0015278928671575267
eat6,landfill Cambridge,oranges,2011-08-17,0.0010695250070102687
eat6,composting Cambridge,oranges,2011-08-17,0.0004583678601472581
farm1,eat6,oranges,2011-08-18,3.222785180601837
eat6,landfill Cambridge,oranges,2011-08-18,2.2559496264212857
eat6,composting Cambridge,oranges,2011-08-18,0.9668355541805512
farm1,eat6,oranges,2011-08-19,5.043954022594843
eat6,landfill Cambridge,oranges,2011-08-19,3.5307678158163887
eat6,composting Cambridge,oranges,2011-08-19,1.5131862067784527
farm1,eat6,oranges,2011-08-20,3.6367532714997552
eat6,landfill Cambridge,oranges,2011-08-20,2.5457272900498285
eat6,composting Cambridge,oranges,2011-08-20,1.0910259814499266
farm1,eat6,oranges,2011-08-21,1.4917341826220771
eat6,landfill Cambridge,oranges,2011-08-21,1.044213927835454
eat6,composting Cambridge,oranges,2011-08-21,0.4475202547866231
farm1,eat6,oranges,2011-08-22,4.34494311054182
eat6,landfill Cambridge,oranges,2011-08-22,3.0414601773792738
eat6,composting Cambridge,oranges,2011-08-22,1.303482933162546
farm1,eat6,oranges,2011-08-23,0.021996859991505045
eat6,landfill Cambridge,oranges,2011-08-23,0.015397801994053538
eat6,composting Cambridge,oranges,2011-08-23,0.006599057997451516
farm1,eat6,oranges,2011-08-24,0.3724225420142796
eat6,landfill Cambridge,oranges,2011-08-24,0.2606957794099957
eat6,composting Cambridge,oranges,2011-08-24,0.11172676260428388
farm1,eat6,oranges,2011-08-25,4.308300108787288
eat6,landfill Cambridge,oranges,2011-08-25,3.015810076151101
eat6,composting Cambridge,oranges,2011-08-25,1.2924900326361863
farm1,eat6,oranges,2011-08-26,4.210235071389578
eat6,landfill Cambridge,oranges,2011-08-26,2.9471645499727037
eat6,composting Cambridge,oranges,2011-08-26,1.2630705214168734
farm1,eat6,oranges,2011-08-27,8.640712628240557
eat6,landfill Cambridge,oranges,2011-08-27,6.0484988397683885
eat6,composting Cambridge,oranges,2011-08-27,2.5922137884721668
farm1,eat6,oranges,2011-08-28,0.6847329321745985
eat6,landfill Cambridge,oranges,2011-08-28,0.47931305252221895
eat6,composting Cambridge,oranges,2011-08-28,0.20541987965237954
farm1,eat6,oranges,2011-08-29,4.2169951843599485
eat6,landfill Cambridge,oranges,2011-08-29,2.951896629051963
eat6,composting Cambridge,oranges,2011-08-29,1.2650985553079843
farm1,eat6,oranges,2011-08-30,2.61652382799042
eat6,landfill Cambridge,oranges,2011-08-30,1.8315666795932928
eat6,composting Cambridge,oranges,2011-08-30,0.7849571483971257
farm1,eat6,oranges,2011-08-31,6.051607711529338
eat6,landfill Cambridge,oranges,2011-08-31,4.236125398070536
eat6,composting Cambridge,oranges,2011-08-31,1.8154823134588007
farm1,eat10,apples,2011-08-01,0.14591495954651526
eat10,landfill Newmarket,apples,2011-08-01,0.10214047168256067
eat10,composting Newmarket,apples,2011-08-01,0.043774487863954575
farm1,eat10,apples,2011-08-02,1.4434595636603311
eat10,landfill Newmarket,apples,2011-08-02,1.0104216945622315
